original_id,new_id
9580,0
14631,1
7315,2
1955,3
9943,4
12077,5
8411,6
16821,7
13832,8
7771,9
9973,10
6763,11
2550,12
5266,13
8316,14
11733,15
16425,16
4253,17
1148,18
10589,19
621,20
11802,21
14283,22
18491,23
14394,24
5865,25
18490,26
3129,27
14044,28
5535,29
18257,30
11698,31
15194,32
19120,33
9949,34
18584,35
12164,36
10509,37
11527,38
14958,39
12104,40
12109,41
1099,42
5614,43
12735,44
4148,45
13539,46
4735,47
9590,48
4420,49
8019,50
4502,51
2604,52
9919,53
1734,54
4683,55
11685,56
19173,57
15173,58
2988,59
11114,60
10635,61
19115,62
17543,63
16117,64
7285,65
17803,66
3451,67
19482,68
17652,69
15876,70
6957,71
6097,72
18054,73
7060,74
414,75
7362,76
2481,77
10941,78
8107,79
2900,80
5967,81
4073,82
10514,83
9365,84
10910,85
17571,86
858,87
1704,88
7915,89
14242,90
13834,91
17400,92
17552,93
6989,94
18750,95
1105,96
7637,97
9819,98
19078,99
15866,100
5305,101
15536,102
10247,103
11797,104
12792,105
8385,106
13775,107
11204,108
18504,109
1552,110
6718,111
10741,112
13362,113
17655,114
17906,115
12198,116
6796,117
16467,118
8315,119
1547,120
14450,121
15411,122
3166,123
10335,124
14572,125
12732,126
4295,127
16419,128
1050,129
606,130
1271,131
7998,132
3619,133
19029,134
3386,135
10539,136
16292,137
19117,138
10909,139
11215,140
17556,141
5537,142
10790,143
4387,144
8752,145
8696,146
17891,147
12741,148
10382,149
9642,150
1907,151
1457,152
19325,153
19277,154
17745,155
10687,156
5710,157
15148,158
15908,159
8268,160
12136,161
8528,162
13972,163
5655,164
17181,165
13404,166
4046,167
14993,168
8976,169
17045,170
17044,171
272,172
14078,173
1330,174
2405,175
1543,176
1661,177
917,178
14469,179
14043,180
17101,181
17207,182
862,183
16182,184
10649,185
18887,186
15766,187
17214,188
735,189
2181,190
5014,191
16360,192
13921,193
13804,194
390,195
14361,196
12983,197
14329,198
5166,199
1195,200
2709,201
6714,202
2484,203
11972,204
15838,205
