original_id,new_id
36121,0
26572,1
37550,2
14601,3
15061,4
6364,5
3542,6
21038,7
12538,8
47592,9
26119,10
9868,11
26482,12
10850,13
31970,14
47771,15
11254,16
42185,17
19062,18
34428,19
25902,20
48195,21
30484,22
9851,23
28036,24
16718,25
8116,26
14633,27
12823,28
22706,29
16055,30
30617,31
41922,32
47310,33
31698,34
11022,35
46458,36
30883,37
35930,38
19956,39
9878,40
24098,41
27176,42
18808,43
6649,44
31319,45
43385,46
14183,47
37695,48
26227,49
28924,50
10910,51
27898,52
42757,53
12022,54
9226,55
45394,56
41582,57
41878,58
22367,59
20013,60
47657,61
22041,62
29888,63
33435,64
36070,65
48825,66
5818,67
5510,68
35105,69
1309,70
20702,71
16110,72
6707,73
8040,74
42197,75
7958,76
25776,77
45125,78
19471,79
16576,80
45503,81
23931,82
28759,83
30992,84
21308,85
4517,86
8502,87
27620,88
31134,89
36313,90
48543,91
15166,92
25342,93
9328,94
20625,95
10498,96
25534,97
41727,98
23551,99
17039,100
32682,101
9456,102
34696,103
770,104
19923,105
3639,106
24916,107
37771,108
8939,109
40104,110
13728,111
24512,112
48653,113
28332,114
41888,115
2326,116
21680,117
41228,118
49502,119
9221,120
23611,121
29451,122
40167,123
5948,124
18419,125
35108,126
20207,127
11853,128
36296,129
45335,130
43060,131
38455,132
19057,133
26682,134
10710,135
2937,136
20243,137
15899,138
26219,139
27487,140
49598,141
43686,142
8369,143
49633,144
17984,145
39284,146
47305,147
41303,148
35837,149
23639,150
34702,151
31763,152
27661,153
48928,154
19195,155
28192,156
11099,157
30810,158
1069,159
25539,160
25117,161
13357,162
4394,163
25979,164
36509,165
34634,166
42319,167
4544,168
25572,169
45172,170
8788,171
10485,172
13517,173
23963,174
4898,175
98,176
1733,177
28611,178
12920,179
43104,180
38898,181
32573,182
37859,183
43002,184
9978,185
11239,186
27683,187
31744,188
48320,189
10152,190
20488,191
7906,192
36590,193
21828,194
40626,195
40653,196
31706,197
49298,198
13346,199
12404,200
376,201
8065,202
33442,203
26812,204
30466,205
27072,206
21854,207
14270,208
19559,209
14173,210
18032,211
20397,212
4117,213
10409,214
28066,215
25034,216
29954,217
25188,218
30134,219
