item_id	large	title	summary
228	https://m.media-amazon.com/images/I/51Al7cw06-L._AC_.jpg	Horse Illustrated	
269	https://m.media-amazon.com/images/I/51catGHD-4L._AC_.jpg	Shutterbug    Print Magazine	Information and buying source for serious photographers. Each issue is filled with articles on photo equipment and techniques.
444	https://m.media-amazon.com/images/I/61ujHBX6gfL._AC_.jpg	Equus    Print Magazine	The horse owner’s resource, EQUUS provides vital information about horse care and management along with valuable insights into equine behavior and training. Besides reporting on the latest equine research each month, EQUUS can help you understand and influence your horse’s behavior, recognize signs of illness or injury, and solve your riding and training problems. Plus you’ll get in-depth articles on horse breeds that you won’t find anywhere else.
302	https://m.media-amazon.com/images/I/511T1mhbkGL._AC_.jpg	More    Print Magazine	
116	https://m.media-amazon.com/images/I/51e1oVw1KzL._AC_.jpg	The Writer	
360	https://m.media-amazon.com/images/I/51ppa29SlqL._AC_.jpg	Cricket    Print Magazine	
256	https://m.media-amazon.com/images/I/61DMuxDfKdL._AC_.jpg	American Bungalow    Print Magazine	A magazine published in the interest of preserving and restoring the modest American 20th century home, the bungalow, and the rich lifestyle it affords. Usually ships within 3-5 weeks.
442	https://m.media-amazon.com/images/I/516W7nWLWgL._AC_.jpg	Bird Watchers Digest    Print Magazine	Experience the beauty and tranquility of birds in your own backyard and beyond. Bird Watchers Digest offers tips on feeding, gardening, bird identification, and more.
175	https://m.media-amazon.com/images/I/61Y4HORBErL._AC_.jpg	GQ    Print Magazine	"Product Description
Dive into
GQ
’s culture-defining covers with Timothée Chalamet, Travis Scott, Zendaya, Daniel Craig, LeBron James, and more. From dynamic storytelling to elevated style—if it’s at the center of the zeitgeist, it’s in the magazine. Subscribe now and never miss bleeding-edge fashion from all over the world, captivating photography from innovative artists, and unforgettable profiles and longform journalism.
Amazon.com Review
GQ
is the flagship of men's fashion and style. To be
GQ
is to be forward-looking, progressive and cutting-edge.
GQ
is home to some of the most elevated and respected in photography, design, reporting and writing in the men’s space.
GQ
fosters a community where readers gather to be inspired and exchange ideas around style, creativity and culture.  As masculinity evolves and men's fashion has moved to the center of the global pop-culture conversation,
GQ
's authority has never been broader or stronger.  Subscribe to
GQ
and become a part of this forward-looking, progressive and cutting-edge community; you’re not going to want to miss out."
241	https://m.media-amazon.com/images/I/61wRlDfhnaL._AC_.jpg	CosmoGIRL!    Print Magazine	
