item_id	user_id	timestamp
0	1150	1316789603000
0	95	1354819669000
0	776	1410651210000
0	1054	1415671770000
0	0	1648232610565
1	1061	1459013318000
1	230	1479677757000
1	0	1560303617546
2	1193	1456863856000
2	0	1538967465998
2	1148	1581477349779
3	1096	1172611256000
3	16	1279843118000
3	904	1323842875000
3	719	1413773754000
3	39	1417206710000
3	775	1417314282000
3	768	1418666826000
3	1180	1421368066000
3	610	1439571035000
3	321	1441201394000
3	468	1464175698000
3	0	1526830776794
3	278	1537204809445
3	153	1546156223650
3	1000	1550880235433
3	1335	1557626144178
3	907	1587183195776
3	794	1605640336321
3	52	1617643314228
4	0	1342813850000
4	390	1346775911000
4	870	1365125093000
4	1063	1390580294000
4	1392	1488068474000
4	851	1645462566386
5	1161	1042336279000
5	604	1076075267000
5	857	1223772373000
5	631	1286427273000
5	0	1336315735000
5	1346	1356626697000
5	347	1369594135000
5	469	1377657923000
5	724	1382001635000
5	1109	1407391437000
5	944	1409079221000
5	984	1417616795000
5	1138	1417761831000
5	78	1423067943000
5	398	1430608831000
5	1113	1434027962000
5	231	1436473037000
5	1310	1439370312000
5	1262	1448246771000
5	764	1461022528000
5	403	1461339328000
5	165	1462075154000
5	255	1467338790000
5	943	1475905470000
5	1319	1481556259000
5	1072	1481890828000
5	220	1484270680000
5	1055	1484584434000
5	1428	1485524481000
5	1200	1487701269000
5	214	1490313683000
5	707	1546274381461
5	527	1562855507000
5	7	1567916507497
5	167	1568572651749
5	132	1570658548793
5	889	1571320963230
5	155	1571855289386
5	973	1575341438484
5	1178	1577806859169
5	159	1608145247622
6	336	1012262039000
6	1383	1111948611000
6	1414	1233984535000
6	0	1324699161000
6	988	1358097692000
6	957	1359978440000
6	5	1367539128000
6	1190	1406941847000
6	991	1407190952000
6	838	1420157938000
6	1054	1435468479000
6	36	1454714445000
6	361	1493754461000
7	106	1255139715000
7	971	1271058001000
7	0	1282924980000
7	631	1288803392000
7	1232	1320420351000
7	267	1323051691000
7	16	1338661449000
7	1400	1343917175000
7	1328	1347767664000
7	1220	1353884428000
7	1401	1356807299000
7	817	1361833412000
7	412	1365817111000
7	1290	1368629709000
7	1217	1374480896000
7	1139	1377245449000
7	1134	1377865813000
7	647	1381811918000
7	703	1383042224000
7	1213	1386546179000
7	642	1386760030000
7	1311	1390934270000
7	709	1391440512000
7	755	1393283244000
7	705	1409159150000
7	1402	1409832852000
7	480	1410627053000
7	334	1412295266000
7	1351	1412533860000
7	1330	1417803498000
7	1385	1420142202000
7	913	1420507673000
7	391	1421932615000
7	310	1427917894000
7	25	1439857954000
7	1224	1439878124000
7	465	1442460469000
7	977	1451659392000
7	1062	1455151743000
7	1273	1455285765000
7	338	1469298582000
7	1015	1474666415000
7	1239	1476939600000
7	145	1477353396000
7	1169	1477405590000
7	234	1477417655000
7	435	1481051781000
7	737	1482466250000
7	109	1482569616000
7	138	1485261013000
7	1198	1487701290000
7	362	1489856785000
7	48	1490706975000
7	107	1491399462000
7	667	1496234095000
7	384	1502080424824
7	298	1503603399652
7	183	1507263399906
7	500	1507844441251
7	1053	1510682928260
7	491	1516504481705
7	1404	1519245703073
7	108	1521835870318
7	830	1522074987574
7	430	1523535819236
7	1272	1529357107213
7	444	1533694930124
7	1044	1534386211089
7	1042	1534531172531
7	931	1534802159790
7	1320	1535979578094
7	960	1536975829485
7	551	1543071322711
7	328	1543501783617
7	1335	1543668335097
7	520	1543729550122
7	1141	1544636163755
7	382	1544827882828
7	1177	1546461250454
7	686	1546976947102
7	99	1549493505613
7	385	1550118951638
7	1318	1553984168959
7	291	1554760069035
7	539	1555189741883
