original	item_id
B0BP6NG2PH	0
B09QZZPVCY	1
B09P87WGQB	2
B0BSD6NVYQ	3
B0848LKV51	4
B01GW3LRD2	5
B00LINQ1HY	6
B00O2GW3EO	7
B00C9UND8U	8
B007XJ448A	9
B0041CASX2	10
B002F8TD1W	11
B003DNSR3S	12
B001AH7VZE	13
B0017AJMX8	14
B000UQURQ6	15
B003DKJAZA	16
B003DNSR4M	17
B000KMCF0G	18
B001ELJF8W	19
B000088NQB	20
B003DNSR56	21
B000BYTYJI	22
B001EYUTCK	23
B0009X6QJM	24
B001EYUONY	25
B0000CDYOH	26
B003DKJAXW	27
B003DNSR4C	28
B000066ST3	29
B003DKJAY6	30
B00005LVWL	31
B000050HEI	32
B000088NQP	33
B001EYUP1A	34
B000063LGY	35
B00005LVWM	36
B00001LAE2	37
B0000507UR	38
B00004WGW1	39
B001EYUWIG	40
B001ELJE9W	41
B07DHNX18W	42
B07DHNX192	43
B007W469N4	44
B07CWGPFK8	45
B07KDPV98F	46
B07H2BHLGX	47
B089QYP649	48
B074RNL1RX	49
B0BH98D8GL	50
B01MQMOXU1	51
B01M4L8ODH	52
B015E7RQHS	53
B00KVQQHNM	54
B00H862HXC	55
B00LZVNWIA	56
B0050SVNZ8	57
B0BZ8GZW38	58
B09JYH4F31	59
B0C3JWTK1L	60
B08CW2M37L	61
B08GS7MG3W	62
B07SW1PC5K	63
B088R3VXFC	64
B07L49F81L	65
B09LY2F7J4	66
B0CGY5ZT55	67
B07MSJCJ1Q	68
B08XQLWT9V	69
B07R9YW9MJ	70
B07XTXXQ5K	71
B08N7Q1J4W	72
B0B3XNR8YM	73
B07SBX48TY	74
B07RVMNWDM	75
B07NZX84HB	76
B0BL3CW73P	77
B0C3MZ128V	78
B0882TR2WY	79
B07M9XQ9LW	80
B071KFGC8R	81
B08DHTZNNF	82
B07D3N7JTY	83
B07YQN6HRQ	84
B019WRM1IA	85
B0B6GLJ6YQ	86
B08RDGFR94	87
B07LB1G7KG	88
B07HCJXWLV	89
B07HRDP2MF	90
B07GWNSKX7	91
B07HP8R3NM	92
B0797DW7D1	93
B077H61HG1	94
B01MPWYHI6	95
B01LZ8LGVQ	96
B01KV3BB0S	97
B01DUII8C0	98
B017VLXGFQ	99
B00MA5U02G	100
B08NF1YWXD	101
B07ZJ6RY1W	102
B07DDDB4BK	103
B081243BT6	104
B0055VHUAM	105
B00DB2BI00	106
B0031TKFUM	107
B002XVUT3M	108
B0039QJKZ8	109
B07DZDJ739	110
B0B7HZYH75	111
B08T15J21Y	112
B000NUDXFQ	113
B000031KJL	114
B0006B0O9U	115
B000O5I0F8	116
B000SH3XGS	117
B000Q6ZLH0	118
B001EYUOS4	119
B000B8J7KA	120
B00009WAUN	121
B001EYUPI8	122
B000DZJFZI	123
B000046S41	124
B00002DHER	125
B004EW2PC6	126
B004EVWYYG	127
B000HVVO98	128
B004C37V0I	129
B08J5J6914	130
B07VV3ZS8H	131
B07CWJC8ZM	132
B07CWGPGHL	133
B08MBMBDW5	134
B01GOK2DW2	135
B01K3DM0WY	136
B0177G3QV4	137
B01I14IASK	138
B00Q7LN1TI	139
B004Y2VAVS	140
B00BXGY9SY	141
B000PT18OS	142
B00RJNE3TK	143
B07GWGJCJK	144
B09CG15F86	145
B077J2BJ2F	146
B08MBHZKDV	147
B07DHNZ676	148
B09JY72CNG	149
B075WYDBD4	150
B0714MHH8R	151
B01GUCFN08	152
