original	user_id
AFSKPY37N3C43SOI5IEXEK5JSIYA	0
AFZUK3MTBIBEDQOPAK3OATUOUKLA	1
AECABX3OO3GK7FCPZLFM3LT2E6UA	2
AFWTME2ROGUQI5J5FB3DWCLKZNBA	3
AHFZUNQFXSVVT6Z6BYKE5CLBX3KQ	4
AH4CGRSYSW5CWLRGQYRZKNJBUPAA	5
AHATA6X6MYTC3VNBFJ3WIYVK257A	6
AHV6QCNBJNSGLATP56JAWJ3C4G2A	7
AGYBOBPV47L6FRILNSZ7S6XFLPFA	8
AG3XU5GJ7ATYTRQ3664DTIOF2BRA	9
AG6NAC74NJXO4ELJFVJDKISVQAEA	10
AFJBKPK5W56XWSNPQU2WW66ISWYQ	11
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ	12
AHJQPUQLSQZE6LMIUMY7WNRXCQQQ	13
AHC5IMHOSWX536YGLYJUI2LDHJPA	14
AGTITI6OKWPN2AVELIAJALJFX6NA	15
AFFFV4Y35FUSSYUMRHYV4P34X2MA	16
AE63SKK47DLG5EONUFB3GH4UUJRA	17
AFDPKX3DYZI6FV5GXLI7NVTULR4Q	18
AFXF3EGQTQDXMRLDWFU7UBFQZB7Q	19
AHKWW7UAKEI3TIJYRHQEOXPV5JHQ	20
AEIPJBAN7A55Q5DFFPZSR2UV3OKA	21
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ	22
AEICZD35OTDYVWA2KPYWN4PDZ2SA	23
AF76P2AWQWB7ZDCNGZO2GV7JIK4Q	24
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q	25
AGF5RVFM6B7LTHYFA2BZBRWO33OA	26
AFWVN52MRBWOTIK7UGXBWGOY4HBA	27
AFQQQ5LGNSQUEBGDCYBAZZE5T3DA	28
AFQ7WYW4KSH4VI5OVXCP2GV6PBRA	29
AETGCWXC47MSMK6B2TLZ44KCFJZQ	30
AGWSEISP3NKF47Q2CG45DBOYURYA	31
AFX5GCBHJZRWAIDMOJQPLQYQIT4A	32
AEUAL3EJKUSTNB4YY6STLYGTJALA	33
AGNUU3OZ4L7UGAXA72NJIDDFJYDQ	34
AFV22L7AEKI2LW6HMLRLUKNYVBGQ	35
AFKZDUEVDYUJV2PYLIMFKWIW2CZQ	36
AEM54G6GVSBCFVMEWUKELLDH6CEQ	37
AGTWSUM5ZMMQSS2XPC3UCU6OKYBA	38
AEBEJ6DXXVSLCXD6NJ4XPVWRYDNA	39
AEC75WKIIIK4LDQFKNOKWNFZUYJA	40
AFCV25KA7XSAJGTZRDML5B7UYOVQ	41
AGOB6POJASFAZPIIVAUBYYUUAHEQ	42
AHKG6MSLGC4WR5W5MSLUSPZ6BL6Q	43
AE5GHFQZ6IXM4QNYTLTYJO24KQZQ	44
AG2YZAV4ZFEDPO3RTCLL57DOIHNA	45
AFABDHAX4UX5QYXIFBZEQRL6P4VQ	46
AFMHO73ZLBHUMB36EHB4GUFLM3SA	47
AH6U3RG4SKWXF4KNH3RC6VD5P4QQ	48
AFHRPCWEWPAAA2ZVLDTJHDIFR3VA	49
AFGDRVPCP742YM5MMLFIKZCGNNRQ	50
AFEDZ3V72UXPLF5SSZQAOSMHZQIA	51
AFGRAUIXGHWO224SV5YN3TNEUMJA	52
AFERCDY2EFJKT7QUQ75GISNHTFOQ	53
AHKAPM7QGKHOTCHE2L3FRPI4J5OA	54
AGAD75CFX6HECINK2AMZG65EZWAQ	55
AGV5XLEMIEYQBKNM33RTOUZMJEHQ	56
AG4SPO7PKPFSNR43I7WGVITRPXYA	57
AFSH2ADUKP7QBX2P6BCWUKZYE5NQ	58
AHIUVRZLSKLP3UWAYGCD6FBZOCFQ	59
AEPUVXJI32AP3MQUDWVP2VOEH7WQ	60
