original	item_id
B00006KPSH	0
B00006KP86	1
B00006K32H	2
B000FTJ7BE	3
B002MRSM8Q	4
B000063XJL	5
B00005N7T3	6
B001THPA26	7
B00005N7SC	8
B00005NIRE	9
B00005NIOP	10
B00006KT0K	11
B00005NIPH	12
B000UHI2LW	13
B00005N7P0	14
B00005R8BL	15
B00005N7SS	16
B00005N7QI	17
B00005N7OJ	18
B00005N7TL	19
B000EGCIW8	20
B00005N7NY	21
B00005N7UC	22
B00005N7PS	23
B00005NIOW	24
B00006GXD4	25
B00005NINU	26
B00005NIO2	27
B00005NIRG	28
B00005NINY	29
B00005NIOH	30
B00005NIOC	31
B00008DP07	32
B00005NIPP	33
B00005NIN8	34
B00005N7R0	35
B002PXVZW2	36
B00O9K26IQ	37
B00005QDWH	38
B00006KFT2	39
B000FTJ7JQ	40
B00005N7SL	41
B00006KYZ9	42
B00006KWIC	43
B00005N7TM	44
B00005N7RD	45
B00005N7QG	46
B00005N7OV	47
B00005NIOA	48
B002PXW1IE	49
B07QMB5L67	50
B0061SHL16	51
B01BJ902IU	52
B00Y05PFX8	53
B0089FUF6W	54
B002PXVYQY	55
B0037STB02	56
B01LZ307TD	57
B003I7HS4I	58
B001THPA30	59
B00008RUJP	60
B0029XHGSK	61
B01HVTD9QE	62
B01FV4YCNA	63
B002PXVYBE	64
B001THPA3K	65
B01HDAJ8JI	66
B004GVZUUY	67
B001THPA1C	68
B001THPA1W	69
B002PXW0QW	70
B002V0CJL0	71
B001U5SPME	72
B003N3QRF8	73
B00006K99Y	74
B00006FXOV	75
B00006FXOT	76
B00006FXOP	77
B01M11AY5C	78
B01MSDMR9T	79
B001LJGVM0	80
B000UTYHS2	81
B00005NIPX	82
B001THPA58	83
B002PXW0EO	84
B001THPA3U	85
B0061SHKVW	86
B01N702LLM	87
B004GVZUU4	88
B002CT515Q	89
B000PUBBWQ	90
B00006K3EU	91
B00005N7T8	92
B002PXVYPU	93
B00005N7QA	94
B00005N7SN	95
B00016JENW	96
B00005N7QC	97
B002PXW06C	98
B004GVZUTU	99
B004GVZUUE	100
B07Q9XYJ6B	101
B002PXW1WU	102
B002PXW0E4	103
B0061SHL48	104
B00007AXQ2	105
B002PXVZWW	106
B002PXW0M6	107
B005DNAOR8	108
B002PXW15C	109
B002CT51EM	110
B002PXVYSC	111
B06WVLDCWK	112
B001THPA4Y	113
B002PXVYDW	114
B0000AJLX9	115
B00008GT3F	116
B001THPA44	117
B00006KT0A	118
B002PXVYU0	119
B00005R8BC	120
B00005N7T5	121
B000LXS9P4	122
B005EI3V40	123
B06VWTFWWH	124
B002VB3X96	125
B00007AZWJ	126
B003I7HS3Y	127
B00005N7QH	128
B0032KHQT8	129
B00ATQ6FPY	130
B0032KHQTS	131
B002BFZ9NA	132
B079PDGJQH	133
B00006FXOR	134
B00008IHFC	135
B000LXS9PE	136
B01NAZ9P2V	137
B002PXVYEQ	138
B000PUAI3E	139
B0039L2QLS	140
B01N35UMQV	141
B002PXW24C	142
B01NC0HA24	143
B001THPA1M	144
B00008GT1Z	145
B002EDTNXQ	146
B002PXW0XK	147
B00005N7Q1	148
B000G6DK5U	149
B002PXW04Y	150
B000I8ONOS	151
B00005Q7DL	152
B00005NIOO	153
B01LXS2G1Z	154
B0058EONOM	155
B007Q4WWLI	156
B000MTOUPU	157
B00005N7Q5	158
B001U5SPII	159
B00005N7RA	160
B00005R8BR	161
B01N0GNQM6	162
B07QRN3QTF	163
B002PXVYVE	164
B001GDJ4OS	165
B00005NION	166
B003N3QRFI	167
B000LXS9QS	168
B000EGD2T6	169
B00077B7M6	170
B001THPA4O	171
B06XPPNZPX	172
B007Q1M38I	173
B07N3X4P8L	174
B01M0DV32A	175
B00KQ0HP2K	176
B079JCLNZ4	177
B06XWB4X41	178
B00005NIP7	179
B0061SHL02	180
B01HBMU6H6	181
B01HDAJ8IY	182
B01HI8V104	183
B00006KSSX	184
B06XQ6Y6WY	185
B00005N7T9	186
B00005N7SB	187
B00006J9HW	188
B00005NIOS	189
B000310L82	190
B00005N7SA	191
B00005N7QN	192
B00006KZEM	193
B01LY3VKMY	194
B000063XJR	195
B06XQ87WMZ	196
B01IA73GWS	197
B01LWT0101	198
B000I0RKX2	199
B000WPCN2G	200
B002PXVYUU	201
B00005N7S2	202
B001U5SPKQ	203
B002PXWHCO	204
B00JARAU4K	205
B000LXHJDM	206
B002PXW1A2	207
B00GYJZA3S	208
B00HZU8EM4	209
B00005N7RT	210
B000069YW9	211
B00005N7RJ	212
B01H6WOM9Y	213
B074WJZ4ST	214
B0001MS2D4	215
B001TP73UA	216
B01ISG1VVE	217
B00007AZRH	218
B000NY15YI	219
B00007AZRW	220
B0029XLC2G	221
B002PXVY8W	222
B010VUC82Q	223
B002CT51A6	224
B001U5SPK6	225
B01NC0IPLF	226
B01M1D0UJH	227
B00007AXX1	228
B002PXW0B2	229
B00006LKH1	230
B00005N7PH	231
B002PXW0EY	232
B0045VPFE6	233
B004P57EDW	234
B00I2Y90PM	235
B01HI8V19U	236
B01H6WOLSG	237
B01H6WOLP4	238
B01HBMU6HQ	239
B00007LN7R	240
B00005N7XS	241
B00005N7SM	242
B001U5SPL0	243
B00HG1BP0A	244
B0061SHKQ2	245
B001UJE7J0	246
B000MTOUOQ	247
B0047VIALE	248
B01H6WOLPY	249
B0029XHGVC	250
B00006LBP6	251
B000FFJR5E	252
B0061SHL2U	253
B002PXW0DK	254
B011VUM12W	255
B00006K34D	256
B002CT512O	257
B07QPCGWH5	258
B000LXHJFU	259
B01LWT017Z	260
B002PXVYHI	261
B00283LGOG	262
B002PXW1D4	263
B000UHI334	264
B002NM7VMI	265
B00X6LREFE	266
B00005N7SJ	267
B00005N7RO	268
B00007B1I4	269
B002PXW1AW	270
B00006KVLZ	271
B0058K4RA6	272
B00005N7PT	273
B0017HT5T2	274
B00006KNXP	275
B000B7VA4C	276
B00007B2N1	277
B000P6YM08	278
B002FCNHN8	279
B000K0YFUG	280
B00005N7TG	281
B002PXVYXM	282
B00005UQ67	283
B00006LK8F	284
B01FIR6AJ4	285
B00007AX0N	286
B000XXDJ7U	287
B01N78129C	288
B0025ZOVEO	289
B00Y05PFZ6	290
B00007AVYI	291
B015HSVULM	292
B078XY2GHN	293
B011VUM118	294
B008RO9JEO	295
B003K195Y8	296
B002PXVYGO	297
B002PXVYRI	298
B000H1R17C	299
B000BW56WO	300
B001THPA3A	301
B00005NIQO	302
B0006PUYLY	303
B002GCU2SA	304
B000H4W7YG	305
B001C4Q06G	306
B008RO9JM6	307
B002PXVZO0	308
B0037STAZS	309
B002MRSLK0	310
B002PXVYO6	311
B002LDA9VY	312
B01N819UDU	313
B00F8LWD6U	314
B002BFZ9MQ	315
B00005N7QO	316
B0040HQ5LM	317
B00007IJZT	318
B00006KXX2	319
B00007AVLA	320
B00007B9L0	321
B00005Q7E6	322
B000LXS9Q8	323
B00005N7TH	324
B06XPJ29SL	325
B001U5SPIS	326
B000K0YFW4	327
B00079RO7G	328
B01F2MKW0I	329
B0160CLMWQ	330
B002PXW1R0	331
B000A177ZA	332
B003K195XY	333
B002KUNVD6	334
B06XW52KRF	335
B079FNTZFV	336
B000063XKK	337
B0160CPI3A	338
B0160CRM16	339
B01NCABXV8	340
B000U5IQ2Y	341
B000OPOEEE	342
B00006KVNV	343
B004JYTVXU	344
B000PUAI3O	345
B01IAIX74Y	346
B06XP6RKQS	347
B000063XJI	348
B07QF2GG9L	349
B00008KFZF	350
B002PXVZGI	351
B0045VPFDW	352
B00B8C8V5K	353
B002PXVYE6	354
B00023J4HA	355
B002PXVYYQ	356
B01FV50Y18	357
B002G551GK	358
B01M1OOLPK	359
B0160CMACC	360
B00006FXOS	361
B00006KDRR	362
B00006FXOQ	363
B002PXW26A	364
B00AF2P968	365
B01HI8V0Z0	366
B002PXVYRS	367
B0000AWD94	368
B007Q1M37Y	369
B00006KRQP	370
B0160CLPG4	371
B0160CORYG	372
B00007BK3L	373
B000OPOEG2	374
B002PXVYD2	375
B01MSOW7QA	376
B00005NIND	377
B002PXVYI2	378
B00005N7OF	379
B000062XRV	380
B002G551F6	381
B00008BFWB	382
B01LYRA2KN	383
B00005QDWQ	384
B00006K33U	385
B07N3S5LKB	386
B002PXW0LW	387
B000BKPPRM	388
B000067FOL	389
B001U5SPJW	390
B001U5SPHO	391
B00005N7S5	392
B005DNA3LU	393
B000LXHJF0	394
B0012C1O8C	395
B00005N7SG	396
B00TRFWYKI	397
B00GYJYYW6	398
B000BVEEM8	399
B00006K37V	400
B00005N7NQ	401
B0045FEHE6	402
B07DKSJ7J7	403
B00008GT11	404
B003I7HS5M	405
B00006FXOO	406
B000PUAI5C	407
B000066T0K	408
B002GCU2S0	409
B002PXVZ8G	410
B00KAJOCZU	411
B002PXW0TE	412
B079P9BVGQ	413
B00005N7PG	414
B002CT514C	415
B002PXW1PC	416
B01HBN1I68	417
B00283LGPU	418
B07QRN3Y9V	419
